video,cp,dg,G_continue,best,dg_project
LC_dv21_Tlc2p0_TTC07_CP5_S6p233_E16p233.mp4,CP5,94351.79448520568,114659.39448520567,brake,191566.00256313465
LC_dv21_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,2260803.7941878065,2281320.9383721845,brake,7261.525264988817
LC_dv21_Tlc3p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,134641.21030570657,160602.06956666434,brake,159336.55795899077
LC_dv21_Tlc3p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,137801.0214990916,168049.63719036966,brake,152176.27880691236
LC_dv21_Tlc3p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,140910.97037767555,179149.23937468958,brake,137723.55221981945
LC_dv21_Tlc3p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,117967.39334051427,191357.08909290173,brake_hard,130260.13805033255
LC_dv21_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,366033.99034282105,386346.2941977562,brake,13663.942720329258
LC_dv21_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,115195.89609695034,136001.86743488736,brake,205678.0072849263
LC_dv21_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,126052.46965142715,150662.42171753498,brake,201091.55704743182
LC_dv21_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,129492.40218805209,158697.52252998037,brake,194343.25326208211
LC_dv21_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,134952.08417141568,169892.68105957503,brake,186968.44076949614
