video,cp,eps,epistemic,g_alpha1,eps_continue,dg_planner,min_eps,p,n,ttc_start,ttc_true,distance
LC_dv14_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,450122.3854581595,108.70506230660249,450013.6803958529,450122.3854581595,383256.4615579929,66865.92390016658,0.0,13,5.0,5.0,19.444444444444443
LC_dv14_Tlc2p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,452505.4109807265,98.74691919080215,452406.6640615357,452505.4109807265,389693.9844760828,62811.42650464369,0.3076923076923077,13,5.0,4.4,17.11111111111111
LC_dv14_Tlc2p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,450142.7788146563,77.30719181400491,450065.4716228423,450142.7788146563,387331.9987617519,62810.78005290439,0.4615384615384615,13,5.0,3.8,14.777777777777777
LC_dv14_Tlc2p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,450283.947938174,108.03431239852216,450175.9136257755,450283.947938174,385047.16725471226,65236.78068346175,0.1153846153846153,13,6.0,6.0,23.33333333333333
LC_dv14_Tlc2p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,450640.6398968467,87.0114098082413,450553.6284870385,450640.6398968467,384815.823064828,65824.81683201873,0.4230769230769231,13,6.0,5.7,22.166666666666668
LC_dv14_Tlc2p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,450423.999437558,114.9364023921662,450309.06303516583,450423.999437558,387128.9238114339,63295.075626124104,0.5,13,6.0,5.1,19.83333333333333
LC_dv14_Tlc3p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,478740.77797961904,129.8002666105749,478610.97771300847,478740.77797961904,383632.20691186725,95108.5710677518,0.0,24,2.0,2.0,7.777777777777778
LC_dv14_Tlc3p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,450021.4680963469,28.65625025558984,449992.8118460913,450021.4680963469,387243.4011546214,62778.0669417255,0.6666666666666666,12,2.0,1.7,6.611111111111111
LC_dv14_Tlc3p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,450473.3455608772,86.46230199380079,450386.8832588834,450473.3455608772,388597.1989539341,61876.146606943104,1.0,12,2.0,1.4,5.444444444444444
LC_dv14_Tlc3p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,450020.6687483003,28.904530431726016,449991.76421786856,450020.6687483003,381630.7322780964,68389.93647020392,0.875,12,2.0,1.1,4.277777777777778
LC_dv14_Tlc3p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,451556.5401263934,28.21389133745106,451528.3262350559,451556.5401263934,387885.9544243547,63670.58570203866,1.0,12,2.0,0.8,3.111111111111111
LC_dv14_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,450020.6687483003,12.105647204210982,450008.5631010961,450020.6687483003,385330.2527559552,64690.41599234508,0.0833333333333333,24,3.0,3.0,11.666666666666666
LC_dv14_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,450342.6693675398,30.220258343731984,450312.4491091961,450342.6693675398,385284.14351390034,65058.52585363947,0.7083333333333334,12,3.0,2.7,10.5
LC_dv14_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,454010.71505246824,113.20698891096981,453897.50806355727,454010.7150524682,383731.512832601,70279.2022198672,0.8333333333333334,12,3.0,2.4,9.333333333333332
LC_dv14_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,450018.23929779854,28.259510178409982,449989.97978762013,450018.23929779854,389564.3129849774,60453.92631282116,0.875,12,3.0,2.1,8.166666666666666
LC_dv14_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,459901.1153174586,118.02474701579195,459783.0905704428,459901.1153174586,403317.81088777306,56583.30442968552,1.0,12,3.0,1.8,7.0
