cp,p,n,ttc_start,ttc_true,distance,lcd,gate_E,gate_G,gate_R,gate_G.1,gate_JJ.6e
CP1,0.0,21,2.0,2.0,11.666666666666666,2.0,0.005898243485101151,7.321286357494228e-06,8.700580719980711e-13,0.06852474796040976,0.050776201121447186
CP2,0.9090909090909092,11,2.0,1.7,9.916666666666666,2.0,0.999855935898335,0.9999999999998714,1.0,0.9982166585021697,0.997141939887682
CP3,0.85,10,2.0,1.4,8.166666666666666,2.0,0.9999969510243034,1.0,1.0,0.9999972060928942,0.9999943561135008
CP4,0.9090909090909092,11,2.0,1.1,6.416666666666667,2.0,0.9999969510243034,1.0,1.0,0.9999986467298211,0.9999972060928942
CP5,0.85,10,2.0,0.8,4.666666666666667,2.0,1.0,1.0,1.0,0.9999999981713319,0.9999999954976643
CP1,0.0,21,3.0,3.0,17.5,2.0,0.005842599678637983,6.973551234301079e-06,7.675878416740981e-13,0.06799268213764463,0.05035573817974107
CP2,0.6818181818181818,11,3.0,2.7,15.75,2.0,0.999816299214279,0.9999999999992205,1.0,0.9976078721880507,0.9962154165340124
CP3,0.4,10,3.0,2.4,13.999999999999998,2.0,0.9999961887803792,1.0,1.0,0.9999961567929754,0.9999923120166859
CP4,0.7727272727272727,11,3.0,2.1,12.25,2.0,0.9999969510243034,1.0,1.0,0.9999980738129465,0.9999960649379483
CP5,0.6,10,3.0,1.8,10.5,2.0,1.0,1.0,1.0,0.9999999968782419,0.9999999924135105
CP1,0.0,21,4.0,4.0,23.33333333333333,2.0,0.005918824071053375,7.50129478146915e-06,9.262108465568296e-13,0.06879198247347298,0.05098747843911141
CP2,0.4090909090909091,11,4.0,3.7,21.58333333333333,2.0,0.9998475512151692,0.9999999999998126,1.0,0.9981039022944863,0.9969693293482271
CP3,0.1,10,4.0,3.4,19.83333333333333,2.0,0.9999961887803792,1.0,1.0,0.9999940052248426,0.9999881729551208
CP4,0.5909090909090909,11,4.0,3.1,18.08333333333333,2.0,0.9999969510243034,1.0,1.0,0.9999986467298211,0.9999972060928942
CP5,0.4,10,4.0,2.8,16.333333333333332,2.0,1.0,1.0,1.0,0.999999996684254,0.9999999919540044
