video,p,n,deficit_max,distance,ttc_true,dv_kph,cp,lcd,ttc_start,gap_trace,vrel_trace,p_lane_end,a_req
LC_dv14_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,0.9615384615384616,13,7445.18669049671,10.5,2.7,14.0,CP2,2.0,3.0,11.836999999999975,3.759999999999998,1.0,0.720164609053498
LC_dv14_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,0.8076923076923077,13,7750.3878971114045,9.333333333333332,2.4,14.0,CP3,2.0,3.0,10.686000000000021,3.7590000000000003,1.0,0.8101851851851853
LC_dv14_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,0.9230769230769231,13,7841.036723522378,8.166666666666666,2.1,14.0,CP4,2.0,3.0,9.533999999999978,3.7560000000000002,1.0,0.9259259259259259
LC_dv14_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,0.8846153846153846,13,7841.036723522378,7.0,1.8,14.0,CP5,2.0,3.0,8.376999999999995,3.753,1.0,1.080246913580247
LC_dv14_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,0.019230769230769232,26,1048.35142278874,15.555555555555555,4.0,14.0,CP1,2.0,4.0,16.895000000000024,3.748000000000001,0.0,0.48611111111111116
LC_dv14_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,0.6923076923076923,13,6537.098395435112,14.38888888888889,3.7,14.0,CP2,2.0,4.0,15.74499999999999,3.7609999999999992,1.0,0.5255255255255256
LC_dv14_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,0.46153846153846156,13,6537.098395435112,13.22222222222222,3.4,14.0,CP3,2.0,4.0,14.588999999999984,3.7590000000000003,1.0,0.5718954248366014
LC_dv14_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,0.8076923076923077,13,7119.262575027707,12.055555555555555,3.1,14.0,CP4,2.0,4.0,13.436999999999998,3.753999999999998,1.0,0.6272401433691757
LC_dv14_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,0.6538461538461539,13,7435.259847018218,10.888888888888888,2.8,14.0,CP5,2.0,4.0,12.283999999999978,3.753,1.0,0.6944444444444445
LC_dv14_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,0.0,13,1019.3296682389503,19.444444444444443,5.0,14.0,CP1,2.0,5.0,20.76100000000001,3.748000000000001,0.0,0.38888888888888895
LC_dv14_Tlc2p0_TTC05_CP3_S5p667_E15p667.mp4,0.3076923076923077,13,5766.065893975077,17.11111111111111,4.4,14.0,CP3,2.0,5.0,18.465000000000018,3.608999999999998,1.0,0.44191919191919193
LC_dv14_Tlc2p0_TTC05_CP5_S6p267_E16p267.mp4,0.46153846153846156,13,6609.160578792491,14.777777777777777,3.8,14.0,CP5,2.0,5.0,16.160999999999987,3.753,1.0,0.5116959064327486
LC_dv14_Tlc2p0_TTC06_CP1_S5p067_E15p067.mp4,0.11538461538461539,13,1006.5287119933455,23.33333333333333,6.0,14.0,CP1,2.0,6.0,24.655000000000015,3.6020000000000003,0.0,0.3240740740740741
LC_dv14_Tlc2p0_TTC06_CP2_S5p367_E15p367.mp4,0.4230769230769231,13,4179.339186463065,22.166666666666668,5.7,14.0,CP2,2.0,6.0,23.499999999999986,3.7620000000000005,1.0,0.34113060428849906
LC_dv14_Tlc2p0_TTC06_CP4_S5p967_E15p967.mp4,0.5,13,5009.519086802074,19.83333333333333,5.1,14.0,CP4,2.0,6.0,21.191999999999993,3.7560000000000002,1.0,0.3812636165577343
LC_dv14_Tlc3p0_TTC02_CP1_S5p033_E15p033.mp4,0.0,24,1048.3514227886358,7.777777777777778,2.0,14.0,CP1,3.0,2.0,9.393000000000015,3.7459999999999987,0.0,0.9722222222222223
LC_dv14_Tlc3p0_TTC02_CP2_S5p333_E15p333.mp4,0.6666666666666666,12,5218.95249785645,6.611111111111111,1.7,14.0,CP2,3.0,2.0,8.253000000000029,3.754999999999999,0.6176765849573024,1.1437908496732028
