video,cp,p,n,ttc_start,ttc_true,distance,dv_kph,x_rel,v_ego,v_oth,l0,ldot,gate_g1,demand_P1,demand_P2,demand_released
LC_dv07_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,0.6538461538461539,13,2.0,1.7,3.305555555555556,7.0,9.481465192448582,26.796,24.987,1.429,-0.656666666666664,0.757089120905953,12.874927970789747,1.942205463995922,12.013286310682139
LC_dv07_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,1.0,12,2.0,1.4,2.722222222222222,7.0,8.920065481587216,26.796,24.988,1.2020000000000006,-0.8399999999999993,0.9308056600491601,13.13746151918578,5.794512645797204,12.24154461727489
LC_dv07_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,0.8461538461538461,13,2.0,1.1,2.138888888888889,7.0,8.359121330900262,26.796,24.977,0.9690000000000001,-0.7766666666666685,0.9364019379475157,13.435773489711098,inf,12.500156344639487
LC_dv07_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,1.0,12,2.0,0.8,1.5555555555555556,7.0,7.803040092541815,26.796,24.988,0.7280000000000004,-0.8799999999999979,0.981320459821724,13.697349434838111,inf,12.726263841496689
LC_dv07_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.0,25,3.0,3.0,5.833333333333333,7.0,12.008177186803001,26.793,24.991,1.6270000000000004,2.960594732333751e-15,0.06772784818573098,11.794953199025672,0.48089952338592556,11.067566012815703
LC_dv07_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,0.6538461538461539,13,3.0,2.7,5.25,7.0,11.457467664996726,26.796,24.987,1.430999999999999,-0.6533333333333384,0.7532802318245195,12.022940795207088,0.5805425835892656,11.268220386594946
LC_dv07_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,0.9583333333333334,12,3.0,2.4,4.666666666666666,7.0,10.902064176837023,26.793,24.988,1.1990000000000005,-0.8566666666666627,0.9376514947341962,12.245067208666804,0.7185559706001687,11.462944887183395
LC_dv07_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,0.8461538461538461,13,3.0,2.1,4.083333333333333,7.0,10.349121656426252,26.651,24.988,0.9669999999999994,-0.773333333333337,0.9353883324631107,12.287884923828713,0.7449859200837057,11.492590323226043
LC_dv07_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,0.9583333333333334,12,3.0,1.8,3.5,7.0,9.789041049548237,26.796,24.988,0.7299999999999993,-0.8800000000000038,0.9812279667544027,12.732582222591539,1.419959783920376,11.889263948600338
LC_dv07_Tlc4p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,0.02,25,4.0,4.0,7.777777777777778,7.0,14.151351204390874,26.651,24.991,1.6280000000000008,2.960594732333751e-15,0.06759573037040441,10.855111384351607,0.24336946256423636,10.229748348736003
LC_dv07_Tlc4p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,0.5769230769230769,13,4.0,3.7,7.194444444444445,7.0,13.597500570888803,26.796,24.987,1.4780000000000004,-0.5000000000000012,0.5685670972735157,11.21891138504137,0.3299869540413725,10.558988645307982
LC_dv07_Tlc4p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,0.7083333333333334,12,4.0,3.4,6.611111111111111,7.0,13.041448550027487,26.796,24.987,1.2519999999999996,-0.8400000000000052,0.9238297539142435,11.417301332271908,0.371666012994016,10.734542900127316
LC_dv07_Tlc4p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,0.7307692307692307,13,4.0,3.1,6.027777777777778,7.0,12.493162670527976,26.796,24.988,1.0209999999999997,-0.7699999999999996,0.926822193570497,11.618346467156396,0.42395928257319365,10.912074912577797
LC_dv07_Tlc4p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,0.8333333333333334,12,4.0,2.8,5.444444444444444,7.0,11.936652355879174,26.796,24.988,0.7819999999999998,-0.7966666666666663,0.962030203687582,11.831427476269267,0.49548476882899095,11.099827901599786
LC_dv07_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,0.0416666666666666,12,6.0,6.0,11.666666666666666,7.0,17.840177196158844,26.796,24.991,1.631,2.960594732333751e-15,0.06720057157626495,9.901065551975048,0.17696698991082502,9.383498323521016
LC_dv07_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,0.4583333333333333,12,6.0,5.4,10.5,7.0,16.734064687612566,26.651,24.988,1.2,-0.8499999999999996,0.9350050115796908,10.064438413802685,0.16779197256860665,9.524593552999571
LC_dv07_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,0.7083333333333334,12,6.0,4.8,9.333333333333332,7.0,15.61703926501463,26.796,24.988,0.7299999999999993,-0.8800000000000038,0.9812279667544027,10.551632666926524,0.23419154670661863,9.96582764710057
LC_dv07_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,0.0384615384615384,13,7.0,7.0,13.61111111111111,7.0,19.789178062140294,26.796,24.991,1.6330000000000007,0.003333333333334447,0.0656377762174264,9.396022861229422,0.14604505064601955,8.928663880851676
LC_dv07_Tlc4p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,0.3076923076923077,13,7.0,6.7,13.02777777777778,7.0,19.229481071272353,26.796,24.987,1.4559999999999993,-0.5900000000000046,0.6799921212760437,9.539925974544364,0.15450105514455367,9.058508601289665
LC_dv07_Tlc4p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,0.5769230769230769,13,7.0,6.1,11.86111111111111,7.0,18.11213260879841,26.796,24.988,0.9859999999999995,-0.7933333333333378,0.9404527838944867,9.830721254254692,0.1725152124725529,9.320292672173517
