video,cp,ttc_start,ttc_true,distance,dv_kph,lcd,p,n,deficit_max,deficit_horizon,p_lane_end,p_lane_end_h,p_lane_max_h
LC_dv14_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,3.0,2.4,9.333333333333332,14.0,4.0,0.7916666666666666,12,6317.619789995417,6028.569392662508,0.8254242192352912,0.8495235732526338,0.8981180349919574
LC_dv14_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,3.0,2.1,8.166666666666666,14.0,4.0,0.875,12,6929.9738637712635,7494.868990630007,0.8610156258472083,0.9706167932909799,0.9816798144986155
LC_dv14_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,3.0,1.8,7.0,14.0,4.0,0.9166666666666666,12,7599.868670858568,8132.759536498014,0.8882647437103426,0.9966592163735453,0.9985565424311922
LC_dv14_Tlc4p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,4.0,4.0,15.555555555555555,14.0,4.0,0.041666666666666664,24,1048.35142278874,1048.35142278874,0.0,0.0,0.0
LC_dv14_Tlc4p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,4.0,3.7,14.38888888888889,14.0,4.0,0.5416666666666666,12,5735.6389306111205,3327.952664335516,1.0,0.5802235295137258,0.5802235295137258
LC_dv14_Tlc4p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,4.0,3.4,13.22222222222222,14.0,4.0,0.6666666666666666,12,6960.904615914724,5946.706163318805,0.9969014400207739,0.7086509426027717,0.8700668840095206
LC_dv14_Tlc4p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,4.0,3.1,12.055555555555555,14.0,4.0,0.6666666666666666,12,6960.904615914724,6080.208819315084,1.0,0.9769302874175354,0.9796672643391039
LC_dv14_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,4.0,2.8,10.888888888888888,14.0,4.0,0.6666666666666666,12,6960.904615914724,6448.457522569126,1.0,0.9989684489331007,0.9989684489331007
LC_dv14_Tlc4p0_TTC05_CP1_S5p033_E15p033.mp4,CP1,5.0,5.0,19.444444444444443,14.0,4.0,0.0,12,1048.3514227886878,1048.3514227886878,0.0,0.0,0.0
LC_dv14_Tlc4p0_TTC05_CP2_S5p333_E15p333.mp4,CP2,5.0,4.7,18.27777777777778,14.0,4.0,0.2916666666666667,12,5714.24623962816,3361.009076914319,1.0,0.500132038742749,0.5096499047210707
LC_dv14_Tlc4p0_TTC05_CP4_S5p933_E15p933.mp4,CP4,5.0,4.1,15.944444444444445,14.0,4.0,0.5833333333333334,12,6203.969217044691,5930.00513839265,1.0,0.9296887506319695,0.9593649268542814
LC_dv14_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,7.0,7.0,27.22222222222222,14.0,4.0,0.0,12,1019.3296682387962,1019.3296682387962,0.0,0.0,0.0
LC_dv14_Tlc4p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,7.0,6.4,24.88888888888889,14.0,4.0,0.375,12,2773.456299678315,2149.8444613896813,1.0,0.8439347336787549,0.8643865306089603
LC_dv14_Tlc4p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,7.0,5.8,22.555555555555557,14.0,4.0,0.375,12,3420.142585721467,3412.8127769909374,1.0,0.9978568704237273,0.9978568704237273
LC_dv21_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,2.0,2.0,11.666666666666666,21.0,2.0,0.0,21,1075.8791621813252,1075.8791621813252,0.0,0.0,0.0
