video,l0,ldot,trace,cp,e_t,lat_center,half_widths
LC_dv14_Tlc3p0_TTC06_CP3_S5p667_E15p667.mp4,1.0640000000000007,-1.1433333333333333,LC_dv14_Tlc3p0_TTC06,CP3,15.667,2.9460000000000006,1.882
LC_dv14_Tlc3p0_TTC06_CP5_S6p267_E16p267.mp4,0.4279999999999997,-1.183333333333335,LC_dv14_Tlc3p0_TTC06,CP5,16.267,2.3099999999999996,1.882
LC_dv14_Tlc3p0_TTC07_CP1_S5p067_E15p067.mp4,1.6419999999999992,0.0,LC_dv14_Tlc3p0_TTC07,CP1,15.067,3.523999999999999,1.882
LC_dv14_Tlc3p0_TTC07_CP2_S5p367_E15p367.mp4,1.3750000000000007,-0.8899999999999952,LC_dv14_Tlc3p0_TTC07,CP2,15.367,3.2570000000000006,1.882
LC_dv14_Tlc3p0_TTC07_CP4_S5p967_E15p967.mp4,0.7549999999999988,-1.0600000000000076,LC_dv14_Tlc3p0_TTC07,CP4,15.967,2.6369999999999987,1.882
LC_dv14_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,1.628,-0.003333333333334447,LC_dv14_Tlc4p0_TTC02,CP1,15.067,3.51,1.882
LC_dv14_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,1.4309999999999998,-0.656666666666667,LC_dv14_Tlc4p0_TTC02,CP2,15.367,3.3129999999999997,1.882
LC_dv14_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,1.2,-0.8566666666666656,LC_dv14_Tlc4p0_TTC02,CP3,15.667,3.082,1.882
LC_dv14_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,0.9669999999999994,-0.7766666666666685,LC_dv14_Tlc4p0_TTC02,CP4,15.967,2.8489999999999993,1.882
LC_dv14_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,0.7289999999999999,-0.8799999999999979,LC_dv14_Tlc4p0_TTC02,CP5,16.267,2.6109999999999998,1.882
LC_dv14_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,1.631,0.0,LC_dv14_Tlc4p0_TTC03,CP1,15.067,3.513,1.882
LC_dv14_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,1.4300000000000004,-0.6699999999999988,LC_dv14_Tlc4p0_TTC03,CP2,15.367,3.3120000000000003,1.882
LC_dv14_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,1.203,-0.8400000000000023,LC_dv14_Tlc4p0_TTC03,CP3,15.667,3.085,1.882
LC_dv14_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,0.9659999999999991,-0.7900000000000034,LC_dv14_Tlc4p0_TTC03,CP4,15.967,2.847999999999999,1.882
LC_dv14_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,0.7250000000000003,-0.8899999999999982,LC_dv14_Tlc4p0_TTC03,CP5,16.267,2.607,1.882
LC_dv14_Tlc4p0_TTC04_CP1_S5p067_E15p067.mp4,1.6330000000000007,-0.003333333333331486,LC_dv14_Tlc4p0_TTC04,CP1,15.067,3.5150000000000006,1.882
LC_dv14_Tlc4p0_TTC04_CP2_S5p367_E15p367.mp4,1.4330000000000005,-0.6666666666666673,LC_dv14_Tlc4p0_TTC04,CP2,15.367,3.3150000000000004,1.882
LC_dv14_Tlc4p0_TTC04_CP3_S5p667_E15p667.mp4,1.2020000000000006,-0.8533333333333282,LC_dv14_Tlc4p0_TTC04,CP3,15.667,3.0840000000000005,1.882
LC_dv14_Tlc4p0_TTC04_CP4_S5p967_E15p967.mp4,0.9719999999999993,-0.766666666666671,LC_dv14_Tlc4p0_TTC04,CP4,15.967,2.853999999999999,1.882
LC_dv14_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,0.7310000000000005,-0.8933333333333298,LC_dv14_Tlc4p0_TTC04,CP5,16.267,2.6130000000000004,1.882
LC_dv14_Tlc4p0_TTC05_CP1_S5p033_E15p033.mp4,1.6370000000000002,-0.003333333333331486,LC_dv14_Tlc4p0_TTC05,CP1,15.033,3.519,1.882
LC_dv14_Tlc4p0_TTC05_CP2_S5p333_E15p333.mp4,1.4859999999999995,-0.5033333333333356,LC_dv14_Tlc4p0_TTC05,CP2,15.333,3.3679999999999994,1.882
LC_dv14_Tlc4p0_TTC05_CP4_S5p933_E15p933.mp4,1.0250000000000001,-0.7833333333333344,LC_dv14_Tlc4p0_TTC05,CP4,15.933,2.907,1.882
LC_dv14_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,1.6419999999999992,-0.003333333333334447,LC_dv14_Tlc4p0_TTC07,CP1,15.067,3.523999999999999,1.882
LC_dv14_Tlc4p0_TTC07_CP3_S5p667_E15p667.mp4,1.2099999999999997,-0.8566666666666656,LC_dv14_Tlc4p0_TTC07,CP3,15.667,3.0919999999999996,1.882
LC_dv14_Tlc4p0_TTC07_CP5_S6p267_E16p267.mp4,0.7330000000000012,-0.8899999999999982,LC_dv14_Tlc4p0_TTC07,CP5,16.267,2.615000000000001,1.882
LC_dv21_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,1.6309999999999991,-0.003333333333340368,LC_dv21_Tlc2p0_TTC02,CP1,15.067,3.512999999999999,1.882
LC_dv21_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,1.2340000000000007,-1.3233333333333284,LC_dv21_Tlc2p0_TTC02,CP2,15.367,3.1160000000000005,1.882
LC_dv21_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,0.7730000000000004,-1.7066666666666652,LC_dv21_Tlc2p0_TTC02,CP3,15.667,2.6550000000000002,1.882
LC_dv21_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,0.29400000000000115,-1.596666666666664,LC_dv21_Tlc2p0_TTC02,CP4,15.967,2.176000000000001,1.882
LC_dv21_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,-0.20099999999999985,-1.8299999999999983,LC_dv21_Tlc2p0_TTC02,CP5,16.267,1.681,1.882
