exp,seed,v0,thw0,lead_onset_t,rt_brake,rt_replan,brake_onset_idx,replan_onset_idx,lead_onset_idx,min_gap,collided,eps_pre_median,eps_max
2,8,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-21.80862350463867,0,1000.0,8062.877009837384
2,9,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-26.872008514404296,0,1000.0,7316.6608397479085
2,10,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-20.918318939208984,1,1000.0,9953.700505202554
2,11,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-13.794711303710937,1,1000.0,10518.815224098167
2,12,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-22.455935668945312,1,1000.0,8891.647755244594
2,13,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-12.47792739868164,1,1000.0,9360.776930803595
2,14,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-5.637263488769531,1,1000.0,10255.785713059036
2,15,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-14.534438323974609,1,1000.0,8823.906587062618
2,16,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-8.389414978027343,1,1000.0,8864.70533389321
2,17,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-13.168589782714843,0,1000.0,15174.004300922064
2,18,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-9.489134979248046,1,1000.0,12874.742517103265
2,19,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-8.3749267578125,1,1000.0,8344.68303527532
2,20,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-19.406073760986327,1,1000.0,11235.151915676986
2,21,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-23.751170349121093,1,1000.0,7626.697165857855
2,22,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-7.0531455993652346,1,1000.0,10456.149181877694
2,23,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-17.402262878417968,0,1000.0,11800.174682869625
2,24,15.0,0.78,0.8,0.8,0.4,8,6,4,-28.052672576904296,1,1000.0,10594.705075779313
2,25,15.0,0.78,0.8,0.8,0.4,8,6,4,-10.21352310180664,1,1000.0,10167.467895282376
2,26,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-5.461085510253906,1,1000.0,10034.642592074948
2,27,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-17.222998809814452,1,1000.0,8965.88333636632
2,28,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-7.3860923767089846,1,1000.0,10520.736793641381
2,29,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-31.800147247314452,0,1000.0,10574.03527293875
2,30,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-19.979388427734374,0,1000.0,12226.302760108805
2,31,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-6.365630340576172,1,1000.0,10148.592927157126
3,0,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.116160583496094,1,1000.0,8165.065322240462
3,1,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.9678489685058596,1,1000.0,9658.322635121911
3,2,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-6.636985015869141,1,1000.0,8790.71069186456
3,3,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.276391220092774,1,1000.0,9776.397929424627
3,4,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.436188888549805,1,1000.0,8226.455597206212
3,5,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-3.884543609619141,1,1000.0,9881.286070901797
